0.008908579;0.002739108;0.000466612;4.41E-05;1.28E-06
0.009643394;0.003026311;0.000531357;5.22E-05;1.61E-06
0.01043818;0.003343527;0.00060508;6.19E-05;2.02E-06
0.011297724;0.00369387;0.000689024;7.34E-05;2.55E-06
0.012227173;0.004080772;0.000784605;8.70E-05;3.21E-06
0.013232063;0.004508016;0.000893433;0.000103075;4.04E-06
0.014318343;0.004979767;0.001017341;0.000122173;5.08E-06
0.015492401;0.005500613;0.001158413;0.000144809;6.39E-06
0.01676109;0.006075602;0.001319022;0.000171638;8.05E-06
0.01813176;0.006710291;0.001501864;0.000203437;1.01E-05
0.019612284;0.007410789;0.001710009;0.000241126;1.27E-05
0.021211087;0.00818381;0.001946945;0.000285795;1.60E-05
0.022937175;0.009036731;0.002216637;0.000338737;2.02E-05
0.024800167;0.009977649;0.002523593;0.000401481;2.54E-05
0.026810323;0.011015449;0.002872932;0.000475842;3.20E-05
0.028978569;0.012159866;0.003270472;0.000563968;4.03E-05
0.031316525;0.013421566;0.003722817;0.000668404;5.07E-05
0.033836532;0.014812216;0.004237459;0.000792165;6.38E-05
0.036551669;0.016344569;0.004822901;0.000938819;8.03E-05
0.039475775;0.018032545;0.005488782;0.001112593;0.000101029
0.042623459;0.01989132;0.006246021;0.00131849;0.000127152
0.046010106;0.021937416;0.007106984;0.001562431;0.000160028
0.049651885;0.024188786;0.008085657;0.00185142;0.000201403
0.053565731;0.026664909;0.009197851;0.002193745;0.000253473
0.057769336;0.02938687;0.010461415;0.0025992;0.000319
0.062281113;0.032377447;0.011896479;0.003079361;0.00040146
0.067120157;0.03566118;0.013525709;0.0036479;0.000505226
0.072306189;0.039264437;0.015374592;0.004320953;0.000635794
0.077859477;0.043215457;0.017471729;0.005117549;0.000800079
0.083800743;0.047544376;0.019849156;0.006060109;0.001006771
0.09015105;0.052283231;0.022542663;0.007175019;0.001266792
0.096931663;0.05746592;0.025592132;0.008493292;0.001593862
0.104163886;0.063128133;0.029041863;0.010051321;0.002005209
0.111868872;0.06930723;0.032940886;0.011891731;0.002522447
0.120067407;0.076042056;0.037343241;0.014064334;0.003172683
0.128779664;0.083372703;0.042308204;0.01662719;0.003989865
0.138024933;0.091340181;0.047900436;0.019647752;0.005016468
0.147821317;0.099986013;0.054190016;0.023204094;0.006305547
0.158185405;0.109351732;0.06125232;0.027386169;0.007923242
0.169131924;0.11947828;0.069167709;0.032297059;0.009951802
0.180673371;0.130405294;0.078020959;0.038054114;0.012493186
0.192819623;0.142170295;0.087900387;0.044789885;0.015673288
0.205577556;0.154807762;0.098896614;0.052652662;0.01964677
0.218950646;0.168348115;0.111100893;0.061806424;0.024602428
0.232938591;0.182816613;0.12460298;0.072429912;0.030768859
0.247536955;0.198232195;0.139488478;0.08471452;0.038419986
0.262736835;0.214606289;0.155835686;0.098860617;0.04787969
0.278524579;0.231941628;0.173711946;0.115071925;0.059524366
0.294881561;0.250231125;0.193169588;0.133547624;0.073781647
0.311784022;0.269456856;0.214241603;0.154471926;0.091122961
0.329202995;0.289589206;0.236937238;0.178001148;0.112047039
0.347104318;0.310586241;0.261237796;0.204248591;0.137051293
0.365448751;0.332393371;0.287092953;0.233268057;0.166588614
0.384192189;0.354943337;0.314417957;0.265037335;0.201009
0.403285988;0.378156576;0.343092078;0.299443556;0.240489083
0.422677392;0.401941985;0.372958634;0.336272685;0.284957894
0.442310064;0.426198089;0.403826837;0.375205481;0.334033073
0.462124695;0.45081458;0.435475561;0.415821866;0.386985824
0.482059705;0.47567422;0.467658966;0.457614718;0.442752145
0.502051988;0.500655;0.50011375;0.50001275;0.5
0.522037713;0.52563251;0.532567575;0.542410599;0.557247855
0.541953128;0.550482406;0.564748138;0.584202911;0.613014176
0.56173538;0.575082872;0.596392226;0.62481843;0.665966927
0.581323292;0.59931698;0.627254154;0.66375008;0.715042106
0.600658113;0.623074843;0.657112989;0.700577841;0.759510917
0.619684192;0.646255492;0.685778169;0.734982534;0.798991
0.638349578;0.668768404;0.713093261;0.766750185;0.833411386
0.656606526;0.690534645;0.738937789;0.795767986;0.862948707
0.674411907;0.711487616;0.763227249;0.822013776;0.887952961
0.691727509;0.73157339;0.785911549;0.845541396;0.908877039
0.708520228;0.750750693;0.8069722;0.866464178;0.926218353
0.72476217;0.768990539;0.826418633;0.884938461;0.940475634
0.740430638;0.786275595;0.844283987;0.90114847;0.95212031
0.75550804;0.802599314;0.860620714;0.915293388;0.961580014
0.769981722;0.817964915;0.875496246;0.927576941;0.969231141
0.78384372;0.832384248;0.888988944;0.938199491;0.975397572
0.797090475;0.845876612;0.901184452;0.947352425;0.98035323
